group,homeTeam,awayTeam,kickoffAt
A,Mexico,South Africa,2026-06-11T10:00:00-06:00
A,South Korea,Czech Republic,2026-06-11T14:00:00-06:00
A,Mexico,South Korea,2026-06-11T18:00:00-06:00
A,South Africa,Czech Republic,2026-06-11T22:00:00-06:00
A,Mexico,Czech Republic,2026-06-12T02:00:00-06:00
A,South Africa,South Korea,2026-06-12T06:00:00-06:00
B,Canada,Bosnia and Herzegovina,2026-06-12T10:00:00-06:00
B,Qatar,Switzerland,2026-06-12T14:00:00-06:00
B,Canada,Qatar,2026-06-12T18:00:00-06:00
B,Bosnia and Herzegovina,Switzerland,2026-06-12T22:00:00-06:00
B,Canada,Switzerland,2026-06-13T02:00:00-06:00
B,Bosnia and Herzegovina,Qatar,2026-06-13T06:00:00-06:00
C,Brazil,Morocco,2026-06-13T10:00:00-06:00
C,Haiti,Scotland,2026-06-13T14:00:00-06:00
C,Brazil,Haiti,2026-06-13T18:00:00-06:00
C,Morocco,Scotland,2026-06-13T22:00:00-06:00
C,Brazil,Scotland,2026-06-14T02:00:00-06:00
C,Morocco,Haiti,2026-06-14T06:00:00-06:00
D,United States,Paraguay,2026-06-14T10:00:00-06:00
D,Australia,Turkey,2026-06-14T14:00:00-06:00
D,United States,Australia,2026-06-14T18:00:00-06:00
D,Paraguay,Turkey,2026-06-14T22:00:00-06:00
D,United States,Turkey,2026-06-15T02:00:00-06:00
D,Paraguay,Australia,2026-06-15T06:00:00-06:00
E,Germany,Curacao,2026-06-15T10:00:00-06:00
E,Ivory Coast,Ecuador,2026-06-15T14:00:00-06:00
E,Germany,Ivory Coast,2026-06-15T18:00:00-06:00
E,Curacao,Ecuador,2026-06-15T22:00:00-06:00
E,Germany,Ecuador,2026-06-16T02:00:00-06:00
E,Curacao,Ivory Coast,2026-06-16T06:00:00-06:00
F,Netherlands,Japan,2026-06-16T10:00:00-06:00
F,Sweden,Tunisia,2026-06-16T14:00:00-06:00
F,Netherlands,Sweden,2026-06-16T18:00:00-06:00
F,Japan,Tunisia,2026-06-16T22:00:00-06:00
F,Netherlands,Tunisia,2026-06-17T02:00:00-06:00
F,Japan,Sweden,2026-06-17T06:00:00-06:00
G,Belgium,Egypt,2026-06-17T10:00:00-06:00
G,Iran,New Zealand,2026-06-17T14:00:00-06:00
G,Belgium,Iran,2026-06-17T18:00:00-06:00
G,Egypt,New Zealand,2026-06-17T22:00:00-06:00
G,Belgium,New Zealand,2026-06-18T02:00:00-06:00
G,Egypt,Iran,2026-06-18T06:00:00-06:00
H,Spain,Cape Verde,2026-06-18T10:00:00-06:00
H,Saudi Arabia,Uruguay,2026-06-18T14:00:00-06:00
H,Spain,Saudi Arabia,2026-06-18T18:00:00-06:00
H,Cape Verde,Uruguay,2026-06-18T22:00:00-06:00
H,Spain,Uruguay,2026-06-19T02:00:00-06:00
H,Cape Verde,Saudi Arabia,2026-06-19T06:00:00-06:00
I,France,Senegal,2026-06-19T10:00:00-06:00
I,Iraq,Norway,2026-06-19T14:00:00-06:00
I,France,Iraq,2026-06-19T18:00:00-06:00
I,Senegal,Norway,2026-06-19T22:00:00-06:00
I,France,Norway,2026-06-20T02:00:00-06:00
I,Senegal,Iraq,2026-06-20T06:00:00-06:00
J,Argentina,Algeria,2026-06-20T10:00:00-06:00
J,Austria,Jordan,2026-06-20T14:00:00-06:00
J,Argentina,Austria,2026-06-20T18:00:00-06:00
J,Algeria,Jordan,2026-06-20T22:00:00-06:00
J,Argentina,Jordan,2026-06-21T02:00:00-06:00
J,Algeria,Austria,2026-06-21T06:00:00-06:00
K,Portugal,DR Congo,2026-06-21T10:00:00-06:00
K,Uzbekistan,Colombia,2026-06-21T14:00:00-06:00
K,Portugal,Uzbekistan,2026-06-21T18:00:00-06:00
K,DR Congo,Colombia,2026-06-21T22:00:00-06:00
K,Portugal,Colombia,2026-06-22T02:00:00-06:00
K,DR Congo,Uzbekistan,2026-06-22T06:00:00-06:00
L,England,Croatia,2026-06-22T10:00:00-06:00
L,Ghana,Panama,2026-06-22T14:00:00-06:00
L,England,Ghana,2026-06-22T18:00:00-06:00
L,Croatia,Panama,2026-06-22T22:00:00-06:00
L,England,Panama,2026-06-23T02:00:00-06:00
L,Croatia,Ghana,2026-06-23T06:00:00-06:00
